
5, 1
7, 2
4, 3
7, 4
8, 5
3, 6
2, 7
5, 8
8, 9
4, 10
1, 11
5, 12
4, 13
5, 14
9, 15
4, 16
5, 17
8, 18
2, 19
8, 20
0, 21
9, 22
8, 23
6, 24
6, 25
4, 26
9, 27
4, 28
6, 29
6, 30
0, 31
2, 32
9, 33
8, 34
8, 35
0, 36
8, 37
6, 38
4, 39
7, 40
2, 41
0, 42
9, 43
2, 44
5, 45
6, 46
3, 47
0, 48
0, 49
8, 50
4, 51
1, 52
0, 53
0, 54
1, 55
6, 56
4, 57
9, 58
0, 59
3, 60
8, 61
4, 62
5, 63
6, 64
9, 65
2, 66
1, 67
8, 68
0, 69
2, 70
0, 71
9, 72
3, 73
1, 74
5, 75
2, 76
8, 77
9, 78
0, 79
0, 80
9, 81
0, 82
4, 83
9, 84
8, 85
7, 86
3, 87
9, 88
7, 89
1, 90
6, 91
6, 92
1, 93
8, 94
0, 95
1, 96
1, 97
8, 98
6, 99
0, 100
3, 101
8, 102
2, 103
4, 104
8, 105
5, 106
1, 107
6, 108
9, 109
2, 110
3, 111
9, 112
3, 113
4, 114
1, 115
9, 116
6, 117
8, 118
1, 119
4, 120
0, 121
2, 122
1, 123
1, 124
0, 125
1, 126
0, 127
0, 128
6, 129
9, 130
9, 131
7, 132
9, 133
3, 134
1, 135
7, 136
4, 137
1, 138
1, 139
7, 140
9, 141
0, 142
2, 143
1, 144
1, 145
0, 146
0, 147
5, 148
1, 149
0, 150
